Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Armenia,ARM,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,158.655,154.282,151.8,155.568,154.198,150.661,151.333,148.782,145.589,142.162,141.475,137.563,133.51,133.768,132.702,133.368,131.433,129.377,127.596,125.369,127.911,123.893,121.987,118.737,118.634,118.268,115.45,120.422,354.967,112.134,111.998,111.924,110.137,108.388,106.955,107.468,102.847,107.005,100.48,104.182,101.019,97.531,96.961,91.284,94.264,88.68,87.163,84.779,82.929,78.156,76.073,74.024,75.87,72.57,68.255,65.825,63.252,61.969,60.479,58.735,85.966,84.064,
American Samoa,ASM,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,211.462,203.896,196.242,189.005,179.062,171.284,163.932,156.291,149.843,141.881,137.794,131.583,129.591,127.885,123.388,121.574,119.623,117.975,114.248,112.913,112.289,111.191,109.799,110.242,109.881,109.324,109.245,108.824,109.258,110.762,109.787,110.346,109.737,110.618,108.234,106.675,103.508,101.454,99.899,97.647,94.431,90.393,88.35,92.333,93.223,90.285,90.859,87.766,85.371,83.496,82.084,79.518,77.028,74.345,71.352,71.265,68.379,66.718,63.384,60.871,58.544,56.879,
Australia,AUS,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,115.945,109.193,112.524,115.741,118.409,118.808,119.568,117.185,116.934,112.951,118.686,111.435,109.275,105.585,107.599,100.658,98.801,95.82,93.146,86.587,84.086,81.303,82.137,79.381,77.799,78.646,73.677,73.58,71.991,70.172,66.314,65.316,64.999,61.603,62.04,60.378,60.117,59.605,57.991,55.876,56.11,53.636,53.059,50.706,49.508,47.595,48.235,48.119,46.643,47.91,45.704,46.069,44.464,45.018,44.842,45.231,44.785,44.614,43.127,42.391,41.652,,
Austria,AUT,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,118.001,113.02,113.132,112.71,108.82,109.516,108.337,108.785,105.062,110.714,107.646,103.957,101.486,101.027,100.141,99.771,98.31,97.242,93.176,91.773,91.566,89.63,89.941,90.63,83.994,82.717,80.425,76.681,73.153,73.365,74.578,73.139,71.612,72.481,70.497,67.848,67.426,61.964,62.274,63.636,63.196,60.139,58.829,59.49,55.035,55.201,51.442,51.858,50.262,50.079,48.689,49.353,46.708,45.326,46.009,44.687,43.796,41.779,43.991,40.952,,,
Azerbaijan,AZE,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,211.995,209.836,205.336,201.641,198.428,193.386,197.284,195.362,189.229,190.194,185.305,181.052,175.687,175.025,170.531,172.089,167.257,168.031,166.235,165.209,163.819,162.059,160.827,156.647,162.21,163.465,163.633,156.294,154.528,158.58,157.658,157.495,155.808,157.139,153.586,147.803,147.936,143.478,139.594,135.2,131.099,127.617,124.554,122.054,119.306,119.262,113.874,110.003,111.528,104.041,105.374,101.609,98.629,95.575,96.189,93.653,87.687,89.833,88.435,88.246,149.378,122.756,
Burundi,BDI,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,376.387,375.134,376.977,374.413,371.09,390.736,376.194,378.095,375.917,382.785,381.272,382.422,720.469,491.448,382.556,385.523,380.999,375.293,375.132,366.276,359.112,352.052,348.354,346.123,346.452,351.771,362.218,374.791,442.328,410.958,424.645,439.779,450.986,567.835,444.652,438.446,429.813,416.404,397.209,385.146,380.612,368.382,353.989,346.181,335.721,324.645,318.757,313.762,298.944,296.277,294.658,288.676,281.386,273.145,265.859,255.471,254.484,243.956,243.146,232.316,243.591,246.199,
Belgium,BEL,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,109.843,104.955,109.121,108.219,106.876,108.532,107.567,105.054,106.533,107.028,105.605,103.068,102.407,100.927,99.508,101.292,98.744,96.147,96.154,93.27,90.931,88.329,88.539,88.413,83.768,81.82,82.06,78.65,76.679,76.563,75.087,72.279,73.418,71.674,73.275,71.387,70.658,70.724,70.916,67.493,68.703,67.722,66.905,65.357,62.807,62.164,61.11,63.062,61.626,61.099,59.3,59.462,57.054,57.509,53.263,53.983,51.297,49.351,49.315,46.994,47.78,47.204,
Benin,BEN,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,434.205,431.48,428.709,423.801,421.706,416.75,411.074,407.205,400.864,401.717,398.708,393.787,386.729,381.312,376.05,365.512,352.957,340.647,325.257,318.308,311.044,306.159,298.898,289.188,281.276,275.87,267.107,259.698,256.591,252.606,245.912,243.435,241.283,242.469,244.145,247.123,251.853,246.904,242.94,241.296,243.816,249.065,258.765,259.611,264.89,260.249,257.462,258.725,256.262,257.879,254.119,256.008,257.668,252.741,254.317,249.694,251.112,245.742,245.631,239.831,246.154,249.345,
Burkina Faso,BFA,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,425.692,419.7,414.434,412.033,407.198,399.785,397.858,391.464,387.81,381.655,375.859,371.157,366.477,361.669,353.931,345.008,338.405,330.917,323.151,315.45,312.075,312.586,304.665,300.498,295.868,295.608,302.624,307.195,311.554,313.696,307.811,308.178,308.543,312.724,308.619,307.853,306.291,314.854,307.016,301.718,292.458,293.466,295.917,292.987,288.274,280.212,277.528,273.442,261.91,259.856,255.623,248.537,244.882,246.557,239.949,235.259,229.907,229.403,223.989,225.045,231.071,246.477,
Bangladesh,BGD,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,343.311,337.911,328.612,340.569,327.648,348.5,323.367,321.015,320.57,321.204,438.171,569.358,318.139,313.211,321.423,308.435,311.218,296.021,303.162,303.42,300.637,299.286,297.542,295.271,288.501,282.529,287.213,282.614,289.233,305.533,300.049,321.597,268.758,273.595,265.279,255.436,269.673,227.409,191.094,165.642,169.91,165.836,155.796,150.016,148.313,146.967,148.327,156.221,150.703,149.51,133.139,132.536,118.525,112.607,114.615,112.617,107.952,103.032,100.365,94.56,116.992,121.34,
Bulgaria,BGR,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,114.354,111.422,113.224,108.682,102.054,101.499,100.656,100.919,100.27,103.5,100.101,101.463,99.366,95.813,97.322,96.048,96.178,97.285,99.534,99.359,98.918,97.092,98.338,95.449,98.231,98.506,95.566,94.902,97.567,95.634,98.081,96.629,99.086,94.867,98.232,100.065,99.791,106.49,98.497,99.048,98.817,95.108,93.926,91.42,92.267,92.247,93.389,91.31,88.735,87.304,87.933,85.702,82.257,82.085,88.291,86.607,86.466,86.496,86.31,81.732,95.17,118.345,
Bahrain,BHR,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,281.235,271.515,262.983,251.546,238.141,228.116,215.078,203.76,191.677,186.517,176.163,164.054,159.249,153.596,149.984,144.462,138.817,139.202,134.052,133.563,127.823,128.176,123.216,123.233,123.373,124.284,124.17,124.239,124.911,119.2,119.003,121.604,116.026,111.958,109.198,106.643,96.189,93.526,92.756,93.266,83.07,81.669,79.281,79.447,76.06,70.138,68.311,62.152,60.269,59.485,60.119,59.205,56.802,53.642,51.983,51.933,49.919,49.577,49.496,48.797,50.855,52.547,
"Bahamas, The",BHS,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,242.519,238.74,234.291,230.196,225.953,222.389,218.841,216.069,212.309,207.908,204.868,201.988,198.806,198.175,190.974,187.001,181.806,178.833,178.338,182.071,181.195,177.912,171.688,166.374,160.341,159.282,159.662,165.658,163.39,162.309,156.747,155.205,152.875,153.301,152.693,153.414,154.817,150.588,148.409,146.211,143.389,141.513,140.426,138.67,138.491,135.661,134.668,138.431,137.977,137.222,136.55,140.829,139.158,135.261,131.736,134.412,128.925,126.656,125.128,159.168,130.8,142.806,
Bosnia and Herzegovina,BIH,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,170,165.41,161.446,156.516,151.261,147.839,144.067,142.246,140.901,139.627,136.638,134.081,130.684,129.041,124.472,120.507,119.766,116.552,116.759,116.347,113.961,113.48,112.308,110.382,115.273,122.69,116.111,114.931,112.188,111.566,100.846,101.228,225.395,224.74,109.822,108.818,89.927,87.698,87.164,74.731,78.104,72.011,79.721,66.194,64.414,66.127,60.325,60.961,56.364,54.785,54.547,55.476,51.956,58.445,63.5,59.726,54.444,52.196,50.315,48.461,52.767,59.779,
Belarus,BLR,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,104.51,104.839,109.123,104.974,97.26,99.011,96.901,100.424,96.192,98.185,101.532,98.006,100.313,99.886,98.295,102.077,103.145,103.427,106.936,106.095,109.577,107.347,107.551,108.219,112.708,109.451,97.996,99.568,98.918,101.846,107.204,110,115.421,125.075,125.783,131.093,128.347,130.648,130.858,134.812,125.338,130.326,137.368,130.887,128.963,127.967,122.46,115.608,111.707,113.28,112.143,114.383,97.548,95.272,89.986,82.36,82.559,77.933,79.839,,,,
Belize,BLZ,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,217.93,301.242,214.944,209.953,208.92,206.457,202.995,195.354,191.863,186.99,179.281,178.219,177.617,170.816,171.139,163.82,156.395,152.454,151.658,148.404,148.437,147.76,153.519,149.746,140.241,140.5,133.276,129.811,126.71,126.185,131.98,140.635,148.048,147.886,139.726,147.479,146.996,158.028,166.944,164.956,168.326,171.039,165.588,165.489,163.018,163.628,151.473,142.534,135.298,125.683,120.27,117.163,112.91,111.87,111.18,109.72,107.797,105.673,103.179,99.906,132.376,155.726,
Bermuda,BMU,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,154.686,191.665,190.318,220.473,153.913,144.646,192.329,120.829,123.105,114.367,103.198,112.563,94.947,88.556,84.289,88.822,84.234,80.679,78.926,74.317,70.405,74.567,69.663,64.467,76.55,84.964,81.207,81.653,81.849,85.39,80.249,82.79,92.958,88.287,84.998,73.267,67.614,77.275,78.532,69.18,65.689,65.933,65.517,62.873,54.589,51.266,46.62,45.716,47.534,54.201,50.196,45.298,43.379,41.705,42.349,45.402,51.291,50.424,45.139,42.748,41.685,60.654,
Bolivia,BOL,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,317.859,318.12,314.521,311.599,312.833,310.782,306.674,307.118,303.248,301.93,300.509,296.653,293.047,289.739,287.411,283.748,282.252,279.705,279.084,277.13,273.365,272.574,270.863,269.634,267.112,264.276,262.47,256.725,250.849,244.366,238.569,232.001,230.202,219.338,214.676,211.392,207.836,203.285,197.923,192.573,189.477,184.41,179.223,176.525,176.849,173.649,169.796,169.558,164.414,159.459,157.589,153.957,153.642,149.841,150.415,150.035,145.521,145.419,146.559,146.643,190.705,211.078,
Brazil,BRA,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,278.299,274.079,270.721,266.477,263.135,258.757,255.488,251.836,247.765,244.054,240.434,236.583,232.771,228.651,225.851,221.548,217.957,213.726,209.897,205.493,201.082,196.021,191.252,186.885,182.483,178.108,173.095,167.811,164.205,160.03,155.032,153,149.335,146.348,142.665,139.472,135.476,132.311,129.503,126.806,121.39,116.839,115.572,114.059,109.656,105.294,103.048,101.099,98.587,96.702,94.087,93.534,91.547,89.138,86.15,84.634,81.943,80.037,77.695,75.626,95.452,121.238,
Barbados,BRB,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,182.611,172.329,167.545,161.963,158.201,153.302,149.059,147.634,146.113,145.68,149.66,147.711,143.432,141.778,139.257,135.411,131.262,121.933,117.433,115.625,112.885,112.11,108.277,107.973,106.988,108.444,108.224,106.812,105.577,105.39,105.871,105.586,104.446,101.157,99.962,99.285,98.775,100.057,97.491,96.311,99.582,101.583,99.83,97.11,93.367,93.811,93.988,91.693,92.019,91.552,94.476,93.501,92.618,91.302,90.336,89.598,88.826,88.127,87.146,86.375,85.887,85.044,
Brunei Darussalam,BRN,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,304.365,300.362,298.18,290.833,287.115,283.412,276.988,272.204,266.243,258.954,252.03,244.82,237.077,230.056,223.444,217.238,211.573,205.957,201.045,196.395,190.576,186.85,182.159,178.575,174.346,170.103,165.37,162.44,157.666,152.777,147.65,142.888,137.898,133.281,129.123,125.062,121.34,118.088,115.15,112.386,110.012,108.111,106.505,105.374,104.505,103.919,103.479,103.165,102.907,102.599,102.309,102.018,101.829,101.67,101.329,101.14,100.716,100.158,99.45,98.446,97.328,96.079,
Bhutan,BTN,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,536.274,530.476,524.023,517.058,509.762,502.196,494.115,485.561,477.06,466.797,457.848,449.22,440.741,430.594,421.364,412.032,402.072,391.87,382.736,373.597,364.668,356.116,348.218,340.85,333.726,326.671,318.055,309.358,300.525,292.189,284.279,277.343,268.872,261.416,255.748,246.307,238.795,231.689,224.171,217.159,215.06,204.319,197.341,190.828,184.776,179.06,172.333,166.195,160.571,156.84,150.891,144.953,139.815,135.833,131.994,128.968,126.263,123.433,119.83,116.444,113.318,110.647,
Botswana,BWA,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,329.135,325.325,321.862,318.073,314.449,310.81,307.319,303.778,300.485,297.213,293.873,290.306,286.409,282.166,277.558,272.817,267.97,262.829,258.405,255.491,251.938,247.681,243.43,239.291,234.324,231.692,232.473,237.732,252.8,263.397,283.111,306.347,331.452,357.143,381.567,405.995,429.612,453.805,477.016,498.772,516.182,527.326,532.133,529.813,520.123,503.403,485.979,451.354,417.562,382.267,343.517,317.959,317.474,276.868,257.907,237.818,198.163,171.355,218.279,208.597,201.368,289.76,
Central African Republic,CAF,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,454.078,449.253,444.208,439.166,433.795,428.097,421.887,415.145,408.09,399.934,392.168,384.224,376.31,368.478,360.802,353.333,346.364,339.833,333.89,328.284,323.879,320.35,317.747,316.244,316.004,317.179,320.178,324.547,330.63,337.914,348.399,359.567,373.96,389.194,407.283,425.464,444.349,463.716,481.162,497.364,513.068,521.817,525.764,525.492,521.651,513.612,503.341,491.184,478.303,465.786,453.944,447.489,430.486,421.558,412.079,390.195,377.95,368.61,360.536,357.25,367.44,378.354,
Canada,CAN,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,109.671,106.471,108.087,106.692,104.377,105.284,104.174,103.892,103.251,103.714,102.565,98.61,100.848,100.432,97.852,96.673,91.669,92.53,88.565,89.153,86.248,84.326,82.064,78.562,76.412,77.346,75.365,74.392,72.201,71.749,69.678,69.012,68.42,67.366,67.584,66.92,66.074,63.241,62.681,61.623,61.046,59.364,59.492,58.315,57.049,57.113,55.878,55.476,55.899,54.782,52.66,52.671,52.44,50.975,51.4,50.736,51.593,51.511,51.046,49.747,53.608,,
Central Europe and the Baltics,CEB,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,124.5525435,121.8431823,124.4935899,117.9332984,113.7679209,113.8337895,110.6618471,111.0357401,111.1385692,114.8758927,112.0789661,112.4246197,108.7982137,110.0482191,107.103252,106.8582034,107.5588706,108.2018057,108.622162,108.8174832,111.6399579,109.4190371,108.1771099,109.4967469,108.4346694,109.8322089,107.2233538,107.8457994,105.8778938,106.1627404,105.4403401,106.9941131,106.0101756,104.6827428,104.0267205,103.3971461,100.7953071,99.82894078,97.31320324,96.57072892,93.1777973,91.88125473,91.0308103,93.33012229,92.65411731,90.7366784,88.18576707,86.01377604,81.40237217,78.9192952,76.24792252,74.71983884,73.22243601,70.82713618,69.13647881,68.95329759,66.49749883,64.66985805,63.46060643,61.54813346,,,
Switzerland,CHE,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,98.977,100.078,99.614,97.679,92.991,91.239,90.661,85.962,90.407,89.831,86.999,88.192,83.818,80.168,77.26,77.065,73.821,72.863,74.863,76.037,73.258,70.25,70.902,67.396,67.019,66.303,64.265,62.766,63.843,63.479,62.312,62.39,61.222,60.83,61.027,61.514,57.374,57.52,55.17,53.69,53.915,51.67,51.977,50.145,47.738,46.004,46.738,45.549,42.969,42.165,42.675,40.045,39.904,38.848,36.652,36.484,35.896,34.265,35.152,32.207,32.498,33.005,
Channel Islands,CHI,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,104.247,119.321,100.503,113.752,94.799,97.489,95.188,88.034,104.762,101.635,103.868,99.81,98.287,95.854,95.26,100.094,93.022,90.635,87.556,92.784,86.153,82.735,75.934,81.422,67.769,73.424,70.642,64.42,61.974,61.179,60.754,66.703,53.299,64.091,57.074,58.208,57.015,55.616,51.532,51.474,50.215,49.584,51.882,47.899,45.151,44.116,42.305,39.964,39.533,40.557,40.294,37.052,39.236,38.055,36.171,38.572,39.088,38.911,38.721,38.837,39.372,39.531,
Chile,CHL,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,229.452,218.495,223.468,230.924,208.531,203.231,199.894,193.811,190.5,187.47,175.5,172.159,178.13,158.033,146.891,140.634,147.724,135.093,129.136,129.048,124.117,113.421,107.519,107.626,105.254,102.275,97.87,95.722,93.503,97.357,95.141,88.229,83.37,83.181,83.912,81.995,78.954,76.806,75.064,72.798,68.677,70.948,66.832,67.014,64.246,62.094,66.255,68.538,64.695,64.466,64.879,62.833,61.798,62.354,59.937,61.873,59.505,57.495,58.649,57.863,62.14,68.283,
China,CHN,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,482.386,410.621,319.608,313.046,304.531,294.639,287.47,278.798,270.363,262.09,252.61,242.725,232.659,220.422,210.939,202.972,194.472,186.93,180.24,173.98,168.287,162.328,156.96,151.661,147.032,142.348,137.699,132.592,128.426,125.05,123.608,124.306,117.305,111.374,109.794,104.662,103.217,99.915,94.494,95.624,91.391,83.561,81.579,79.726,77.982,76.045,74.384,72.726,73.884,69.668,68.689,67.265,65.718,64.805,63.549,62.27,60.918,59.587,57.884,56.969,55.437,54.207,
Cote d'Ivoire,CIV,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,426.4,424.471,419.642,416.779,411.797,409.493,405.222,399.801,398.008,392.448,386.048,381.289,377.829,367.288,353.853,345.863,330.331,319.611,308.604,299.082,291.999,284.346,286.394,285.384,299.473,300.558,301.274,302.284,308.838,313.091,318.626,324.852,329.151,335.155,339.816,344.222,350.492,365.631,387.188,406.032,417.546,428.838,436.97,441.234,443.188,441.363,435.853,426.539,414.139,400.217,391.244,382.806,374.101,362.679,363.424,351.633,353.493,341.536,342.043,331.42,335.791,345.388,
Cameroon,CMR,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,416.15,412.445,379.692,376.936,376.704,369.55,367.384,362.092,355.643,349.1,346.11,339.849,334.58,331.311,330.811,328.864,325.457,325.552,321.821,319.912,316.051,316.495,317.014,312.139,312.522,311.332,315.01,304.71,303.778,305.599,304.686,305.026,302.919,310.736,319.084,322.27,330.747,332.344,337.789,336.098,337.101,338.496,342.096,337.391,335.716,341.789,335.594,334.223,327.49,323.111,316.641,311.645,304.131,295.688,289.288,278.456,276.406,269.912,260.402,260.365,265.145,280.714,
"Congo, Dem. Rep.",COD,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,412.293,416.18,418.802,415.07,420.757,413.549,406.717,402.927,400.952,398.229,397.007,394.492,392.882,391.729,387.691,390.046,389.865,389.246,393.885,386.665,387.402,385.54,384.299,384.025,380.458,381.244,375.343,371.431,359.672,354.937,345.607,341.843,335.674,326.49,323.368,312.278,323.177,311.419,309.531,309.361,303.923,304.265,304.652,304.627,302.945,299.874,293.997,294.081,290.257,283.879,279.006,272.029,273.24,266.303,259.917,259.266,251.772,251.583,243.992,238.474,248.709,256.021,
"Congo, Rep.",COG,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,336.675,331.625,323.117,319.057,315.192,312.044,307.467,308.492,300.717,296.376,294.069,290.422,289.947,286.578,283.753,284.887,280.862,282.289,277.709,278.354,273.481,274.286,270.897,272.343,274.021,277.986,280.127,291.893,311.741,334.983,359.34,383.346,411.985,422.555,429.897,424.932,420.004,446.724,432.083,414.422,401.451,391.138,380.562,369.992,357.889,341.408,336.054,324.641,314.536,302.287,287.175,283.893,283.037,269.144,268.536,269.708,256,254.995,254.228,264.087,249.061,258.57,
